,latitude,longitude
0,40.68549,-73.94724
1,40.68549,-73.94724
2,40.68549,-73.94724
3,40.68549,-73.94724
4,40.68549,-73.94724
5,40.68549,-73.94724
6,40.68549,-73.94724
7,40.68549,-73.94724
8,40.68549,-73.94724
9,40.68549,-73.94724
10,40.68549,-73.94724
11,40.68549,-73.94724
12,40.68549,-73.94724
13,40.68549,-73.94724
14,40.68549,-73.94724
15,40.68549,-73.94724
16,40.68549,-73.94724
17,40.65084,-73.97334
18,40.65084,-73.97334
19,40.65084,-73.97334
20,40.65084,-73.97334
21,40.65084,-73.97334
22,40.65084,-73.97334
23,40.65084,-73.97334
24,40.65084,-73.97334
25,40.65084,-73.97334
26,40.65084,-73.97334
27,40.65084,-73.97334
28,40.65084,-73.97334
29,40.65084,-73.97334
30,40.65084,-73.97334
31,40.65084,-73.97334
32,40.75977,-73.98981
33,40.75977,-73.98981
34,40.75977,-73.98981
35,40.75977,-73.98981
36,40.75977,-73.98981
37,40.75977,-73.98981
38,40.75977,-73.98981
39,40.75977,-73.98981
40,40.75977,-73.98981
41,40.75977,-73.98981
42,40.75977,-73.98981
43,40.75977,-73.98981
44,40.75977,-73.98981
45,40.75977,-73.98981
46,40.75977,-73.98981
47,40.75977,-73.98981
48,40.75977,-73.98981
49,40.75977,-73.98981
50,40.75977,-73.98981
51,40.75977,-73.98981
52,40.75977,-73.98981
53,40.75977,-73.98981
54,40.75977,-73.98981
55,40.75977,-73.98981
56,40.75977,-73.98981
57,40.75977,-73.98981
58,40.75977,-73.98981
59,40.75977,-73.98981
60,40.75977,-73.98981
61,40.75977,-73.98981
62,40.75977,-73.98981
63,40.75977,-73.98981
64,40.75977,-73.98981
65,40.75977,-73.98981
66,40.75977,-73.98981
67,40.75977,-73.98981
68,40.75977,-73.98981
69,40.75977,-73.98981
70,40.75977,-73.98981
71,40.75977,-73.98981
72,40.75977,-73.98981
73,40.75977,-73.98981
74,40.75977,-73.98981
75,40.75977,-73.98981
76,40.75977,-73.98981
77,40.75977,-73.98981
78,40.75977,-73.98981
79,40.75977,-73.98981
80,40.75977,-73.98981
81,40.75977,-73.98981
82,40.75977,-73.98981
83,40.75977,-73.98981
84,40.75977,-73.98981
85,40.75977,-73.98981
86,40.75977,-73.98981
87,40.75977,-73.98981
88,40.75977,-73.98981
89,40.75977,-73.98981
90,40.75977,-73.98981
91,40.75977,-73.98981
92,40.75977,-73.98981
93,40.75977,-73.98981
94,40.75977,-73.98981
95,40.75977,-73.98981
96,40.75977,-73.98981
97,40.75977,-73.98981
98,40.75977,-73.98981
99,40.75977,-73.98981
100,40.75977,-73.98981
101,40.75977,-73.98981
102,40.75977,-73.98981
103,40.75977,-73.98981
104,40.75977,-73.98981
105,40.75977,-73.98981
106,40.75977,-73.98981
107,40.75977,-73.98981
108,40.75977,-73.98981
109,40.75977,-73.98981
110,40.75977,-73.98981
111,40.75977,-73.98981
112,40.75977,-73.98981
113,40.75977,-73.98981
114,40.75977,-73.98981
115,40.75977,-73.98981
116,40.75977,-73.98981
117,40.75977,-73.98981
118,40.75977,-73.98981
119,40.75977,-73.98981
120,40.75977,-73.98981
121,40.75977,-73.98981
122,40.75977,-73.98981
123,40.75977,-73.98981
124,40.75977,-73.98981
125,40.75977,-73.98981
126,40.75977,-73.98981
127,40.75977,-73.98981
128,40.75977,-73.98981
129,40.75977,-73.98981
130,40.75977,-73.98981
131,40.75977,-73.98981
132,40.75977,-73.98981
133,40.75977,-73.98981
134,40.75977,-73.98981
135,40.75977,-73.98981
136,40.75977,-73.98981
137,40.75977,-73.98981
138,40.75977,-73.98981
139,40.75977,-73.98981
140,40.75977,-73.98981
141,40.75977,-73.98981
142,40.75977,-73.98981
143,40.75977,-73.98981
144,40.75977,-73.98981
145,40.75977,-73.98981
146,40.75977,-73.98981
147,40.75977,-73.98981
148,40.75977,-73.98981
149,40.75977,-73.98981
150,40.75977,-73.98981
151,40.75977,-73.98981
152,40.75977,-73.98981
153,40.75977,-73.98981
154,40.75977,-73.98981
155,40.75977,-73.98981
156,40.75977,-73.98981
157,40.75977,-73.98981
158,40.75977,-73.98981
159,40.75977,-73.98981
160,40.75977,-73.98981
161,40.75977,-73.98981
